"provincename","orderid","total_order_price"
"Ontario",1,"1599.98"
"São Paulo",4,"749.99"
"Karnataka",5,"269.97"
"Texas",3,"237.96"
"Ontario",17,"199.96"
"British Columbia",2,"119.99"
"Texas",14,"119.90"
"Maharashtra",6,"79.00"
"London",12,"74.97"
"Tokyo",7,"69.90"
"Île-de-France",10,"59.98"
"Bavaria",9,"49.95"
"Seoul",8,"45.00"
"Ontario",13,"39.99"
"British Columbia",15,"39.90"
"British Columbia",19,"28.50"
"New York",20,"26.97"
"Texas",18,"22.50"
"London",16,"20.00"
"New South Wales",11,"15.49"
