"categoryname","avg_price"
"Home & Kitchen","69.2450000000000000"
"Office Supplies","12.4900000000000000"
"Pet Supplies","14.1250000000000000"
"Health & Personal Care","37.4950000000000000"
"Electronics","774.9900000000000000"
"Sports & Outdoors","27.7400000000000000"
"Grocery","11.6200000000000000"
"Toys & Games","42.4700000000000000"
"Musical Instruments","264.9900000000000000"
"Books","22.4700000000000000"
"Fashion","104.9900000000000000"
"Jewelry","79.0000000000000000"
"Automotive","24.9500000000000000"
"Baby Products","107.9900000000000000"
"Beauty","36.2450000000000000"
