"vendor_name","courier_name"
"AutoZone","DTDC Courier"
"AutoZone","Ecom Express"
"BeautyBox","XpressBees"
"BeautyBox","Shadowfax"
"BookVerse","XpressBees"
"BookVerse","Shadowfax"
"GearUp Sports","Delhivery"
"GearUp Sports","FedEx India"
"GroceryGo","Amazon Transportation Services"
"GroceryGo","Gati Ltd."
"HomeEssence","India Post"
"HomeEssence","Ecom Express"
"StyleHub","DTDC Courier"
"StyleHub","FedEx India"
"TechWorld Inc.","Delhivery"
"TechWorld Inc.","BlueDart Express"
"ToyGalaxy","BlueDart Express"
"ToyGalaxy","India Post"
"WellnessMart","Amazon Transportation Services"
"WellnessMart","Gati Ltd."
